s1x,s1y,ax,ay,dt,s2x,s2y
6.369616873214543062e-01,2.697867137638703117e-01,6.419722287537314998e-01,-1.724735933383251485e+00,1.183999276293895148e-01,7.129711527459740017e-01,6.557810407148575993e-02
4.097352393619468902e-02,1.652763552852909434e-02,3.374588722165379195e-01,1.545272674593235251e+00,1.136027851814360029e-01,7.930979170417970514e-02,1.920749152270874449e-01
8.132702392002724157e-01,9.127555772777217191e-01,1.938438457794213754e+00,2.711969292809860654e+00,2.374107424266895250e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.066357757671798634e-01,7.294965609839983989e-01,-1.221761260139567096e+00,8.387338968852500187e-01,2.665116619373416040e-01,2.810221518367230775e-01,9.530289257660693458e-01
5.436249914654228688e-01,9.350724237877682254e-01,-9.150698221828728052e-01,-2.325086897292271360e+00,2.427291924688222968e-01,3.215108324743853330e-01,3.707059587881755824e-01
8.158535541215321540e-01,2.738500170148094881e-03,-9.325683680985230595e-01,-1.357099458695449234e+00,1.425672035426503448e-01,6.828998897693927539e-01,0.000000000000000000e+00
8.574042765875693473e-01,3.358557530546435466e-02,1.338271323013282554e+00,2.020470101867880786e+00,1.462084189867349227e-01,1.000000000000000000e+00,3.289953145095344533e-01
7.296554464299440657e-01,1.756556206025590150e-01,-6.440092505241539200e-01,-3.527377473811315056e-01,5.287744893376465638e-02,6.956018801724810352e-01,1.570037483784020582e-01
8.631789223498865793e-01,5.414612202490917126e-01,1.774114129656384264e+00,6.157048464032888191e-01,1.207926580246121567e-01,1.000000000000000000e+00,6.158338452047805722e-01
2.997118905373847841e-01,4.226872211976584470e-01,8.041690586496974547e-01,2.017482471812196643e+00,1.360585398894404996e-01,4.091259584815284400e-01,6.971829405649652145e-01
2.831967114546296571e-02,1.242832764995639439e-01,-1.504267620081784829e+00,2.352401083064489029e+00,1.038704877959346767e-01,0.000000000000000000e+00,3.686283244891574995e-01
6.706244146936303219e-01,6.471895115742500870e-01,-2.718659136847710656e+00,2.908529041942022886e-01,5.826100561243909015e-02,5.122325994634370216e-01,6.641348942579027304e-01
6.153851114812538547e-01,3.836775542618834356e-01,3.836096974021252493e-01,-2.178854423175151656e+00,2.937731247957079961e-01,7.280793309890121190e-01,0.000000000000000000e+00
9.972099357892110216e-01,9.808353387762300812e-01,-1.573084261486370261e+00,9.745066521436935858e-01,2.405629481863892916e-01,6.187841481004408006e-01,1.000000000000000000e+00
6.855419844806946994e-01,6.504592762678162998e-01,-1.351843522575917333e-01,2.652275703112185745e+00,1.488590336516059653e-01,6.654185724388113066e-01,1.000000000000000000e+00
6.884467305709400797e-01,3.889214239791037864e-01,2.398170899753989005e+00,7.829859074962270959e-01,1.728418401955501560e-01,1.000000000000000000e+00,5.242541490779344393e-01
1.350965050224112174e-01,7.214883401940817009e-01,1.177952781099694590e+00,-2.341756881082769581e+00,6.612122064734100857e-02,2.129841807736531090e-01,5.666485167575787685e-01
5.253543224757258878e-01,3.102418755589556598e-01,-2.818805830638416943e+00,3.028844409071727029e-01,2.252246412903786688e-01,0.000000000000000000e+00,3.784589151147105257e-01
4.858353588317890770e-01,8.894878343490002504e-01,1.028869962093030388e+00,-1.932793873957910691e+00,1.390362064285432520e-01,6.288855352694830980e-01,6.207595063055644236e-01
9.340435159562496814e-01,3.577951967090702290e-01,-2.012060659615431568e+00,-1.235355087197328228e+00,2.996334358030024458e-01,3.311628674716224907e-01,0.000000000000000000e+00
5.715298307297609348e-01,3.218693910759421462e-01,-1.587755699561110845e-02,1.508847938083205165e+00,1.484374446710801099e-01,5.691730067417130057e-01,5.458389234022411607e-01
5.943000301996967938e-01,3.379112255071332616e-01,-2.878137166094646648e+00,2.852100975146109718e+00,2.905414125645687795e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.916190005281612319e-01,8.902743520047923242e-01,1.903433148129487051e+00,2.503203543215501092e+00,1.609940201329136400e-01,6.980603550997750428e-01,1.000000000000000000e+00
2.271575935333797203e-01,6.231871446860424157e-01,1.293617652401142237e+00,8.748116097440723493e-01,1.439859563419400579e-01,4.134203683551735953e-01,7.491477309340747182e-01
8.401534358238482714e-02,8.326441476533977815e-01,-2.462318974903033642e+00,-1.052621685636274673e+00,2.848001089947883036e-01,0.000000000000000000e+00,5.328573768539088817e-01
7.870983074886833686e-01,2.393694429929521528e-01,6.560702546653978118e-01,-1.607355435786130826e-01,1.488264820212349959e-01,8.847389354493102598e-01,2.154477375063762468e-01
8.764842308107038127e-01,5.856803480519434668e-02,-1.908458853861539239e+00,2.842168404373062174e+00,2.121526799937495378e-01,4.715995703061786615e-01,6.615416787864983883e-01
3.361170605456603733e-01,1.502794668948390644e-01,9.958541941778382700e-01,-2.937530019115485835e+00,1.693777834835856755e-01,5.047926366283349564e-01,0.000000000000000000e+00
4.503393666492869762e-01,7.963242702872942447e-01,1.525772951662052179e+00,-1.681352747968534400e+00,2.875099187909826437e-01,8.890142240751215397e-01,3.129186782598654126e-01
2.306422089937474329e-01,5.202130106440960855e-02,-1.697607956537123375e+00,-2.060710875400574515e+00,9.606971812825833290e-02,6.755349111693736974e-02,0.000000000000000000e+00
4.045518398215282030e-01,1.985130445092553320e-01,-2.700593540006844595e+00,-9.197113679189596880e-01,1.988262596528325710e-01,0.000000000000000000e+00,1.565027326573842359e-02
9.075304561912189705e-02,5.803323859868506629e-01,-5.020135212590410845e-01,-3.536947750943362223e-01,1.166096132652964940e-01,3.221344305115541456e-02,5.390881750491440805e-01
2.986961328189225995e-01,6.719948779563593710e-01,-1.534766296086809145e+00,9.685772648454831213e-01,1.534314300028081779e-01,6.321474529021017807e-02,8.206050727698105396e-01
1.995154439682133019e-01,9.421131105064978195e-01,-2.928947100561790862e+00,-1.001553062739596545e+00,7.395698356456491263e-02,0.000000000000000000e+00,8.680412671064258179e-01
3.651101682448285590e-01,1.054952795702295276e-01,-2.907198528714685537e+00,2.479103305209630292e+00,1.753170161312186948e-01,0.000000000000000000e+00,5.401242737206238820e-01
6.291081515397092261e-01,9.271545530678674263e-01,4.581929451122794816e-01,-2.016914336928408158e+00,7.652148382326369458e-02,6.641697555770520456e-01,7.728172752616916386e-01
4.403771547157839805e-01,9.545904936907372296e-01,2.989060662389256606e+00,-7.735307008129410633e-01,2.128896570002338229e-01,1.000000000000000000e+00,7.899138081155197000e-01
4.998958136876470171e-01,4.252286248490755316e-01,-2.458890551074957465e+00,1.029174070100325800e+00,8.728952879941236087e-02,2.852604161149865925e-01,5.150647444807063824e-01
6.202134520153778086e-01,9.950965052353241136e-01,-2.335638330436773380e+00,-8.143856799185402728e-01,9.221558261648678256e-02,4.048312025927522928e-01,9.199974552871121869e-01
9.489436749377653246e-01,4.600451393090960739e-01,-6.099490987954805377e-01,-3.645037126703103425e-01,1.034912859052094652e-01,8.858192583666973929e-01,4.223221813676226732e-01
7.577288453082914321e-01,4.974226954876189710e-01,-8.372256070163519581e-02,1.067216712840517445e+00,2.825285715809392473e-01,7.340748298241599468e-01,7.989419089337557178e-01
5.293121601967704093e-01,7.857857007138074890e-01,2.705085841594527807e+00,1.291595223820722893e-01,2.633389637345830980e-01,1.000000000000000000e+00,8.197984354943560481e-01
4.146558493556707914e-01,7.344835717887293614e-01,-2.785364384169778162e+00,-2.882858198160832330e+00,2.875543984948067400e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.111428779897498442e-01,9.320596866133782354e-01,2.327761656073867869e-02,1.601445108200806544e+00,1.128854564913910480e-01,7.137705823612403577e-01,1.000000000000000000e+00
1.149326332809051943e-01,7.290151170763093935e-01,-1.484190751915586137e+00,1.146780056248914548e+00,2.660555375233727982e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.274239286245599123e-01,9.679261899246464074e-01,2.969251713946015059e-01,1.228363766872028862e+00,8.423356206719471995e-02,9.524349934785395488e-01,1.000000000000000000e+00
1.470630496536928788e-02,8.636400902455757533e-01,1.556322553665975050e+00,-2.111526668415084629e+00,2.682203742372451516e-01,4.321437227435221407e-01,2.972856170313582513e-01
9.811950400663442817e-01,9.572101796109635519e-01,-2.910340147042953518e-01,7.898774279454325864e-01,1.676681253796941662e-01,9.323979123991487095e-01,1.000000000000000000e+00
1.487640122324979108e-01,9.726288138229549629e-01,5.378729831659958549e-01,2.825018669542394889e+00,1.361277648764437354e-01,2.219834592183099753e-01,1.000000000000000000e+00
8.899355557205206324e-01,8.223738275430704237e-01,2.376993561590204251e+00,2.877005675104050475e+00,7.146934839540945716e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.799879238078321730e-01,2.323729196393038432e-01,2.024463280239211294e+00,2.281672473124526590e+00,2.716870260282071570e-01,1.000000000000000000e+00,8.522737282329309050e-01
8.018805787183078682e-01,9.235301597834695286e-01,-3.212705167706229048e-01,-2.416719366788032453e+00,5.963998632772650466e-02,7.827200094906062722e-01,7.793970497902793504e-01
2.661302722922925801e-01,5.389344076221869173e-01,-3.916676349582028926e-01,-3.959562880063809409e-01,1.203977623874272346e-01,2.189743654437492637e-01,4.912621565429869386e-01
4.427528289745314982e-01,9.310173159811550025e-01,-1.208569414734246061e+00,-2.931163546386729379e+00,1.900797657142966890e-01,2.130282377723813347e-01,3.738624358136785064e-01
4.051071118843463381e-02,7.320061956565607764e-01,-2.686535526558700759e+00,4.090902680217514131e-01,2.414781341896241607e-01,0.000000000000000000e+00,8.307925502935865625e-01
6.143732469489966430e-01,2.836536511352105716e-02,8.271425121592752561e-01,-5.585975203182971249e-01,2.582375849403469870e-01,8.279725316904994470e-01,0.000000000000000000e+00
7.192197728267403223e-01,1.599172952357197364e-02,1.744164147014906519e+00,5.242500868970254579e-01,2.520637761582110725e-01,1.000000000000000000e+00,1.481361860781064965e-01
7.579510023564280941e-01,5.127587232620780533e-01,-1.394518270106396729e+00,-6.707125448142203794e-01,2.185116528689560189e-01,4.532325101995220984e-01,3.662002164947790184e-01
9.291042207970061639e-01,6.608249672407473518e-02,9.771360834218585367e-01,-1.042227407986256349e+00,1.884656533459333483e-01,1.000000000000000000e+00,0.000000000000000000e+00
8.413172796123832287e-01,6.669000876710140524e-02,-2.043550182938617343e+00,9.643251171699862567e-01,9.868359318457199658e-02,6.396524047070110131e-01,1.618530763275690676e-01
3.443099788041251719e-01,4.302987319478333017e-01,2.742905005104475435e+00,1.338555394116244912e+00,1.553572707132590547e-01,7.704402142228943262e-01,6.382530446762439968e-01
9.660620807840701874e-01,5.622318422284570127e-01,-2.984323844066513409e+00,7.530663612408021734e-01,5.095575125548028328e-02,8.139936173200181813e-01,6.006049044107130142e-01
2.588645931709322445e-01,2.416757140943449622e-01,1.175247837927033245e+00,-1.066085171518100116e+00,1.674658174312694259e-01,4.556784330337149136e-01,6.314288939471124351e-02
8.881183206591798385e-01,2.258694284173243805e-01,6.971699129106978532e-01,-1.777293798508089440e+00,7.251793796427151439e-02,9.386756451541944379e-01,9.698374699283027200e-02
1.245547058352834968e-01,2.883307570075775983e-01,-1.271611019753885241e+00,-1.370728056661163929e+00,8.195776702347352949e-02,2.033630613381297303e-02,1.759889462872032961e-01
5.861230648127327969e-01,5.540905021732678293e-01,3.680648388431162488e-02,-2.787740013143724660e+00,2.281589441776732397e-01,5.945207933146698931e-01,0.000000000000000000e+00
8.097107759127777360e-01,5.604759520061858291e-01,-1.143092991091276600e+00,9.662086416575412784e-01,2.376727302397955155e-01,5.380287438021398305e-01,7.901173978502178397e-01
2.884212144312104931e-01,4.128963426808927029e-01,7.601561760262365297e-01,-6.034957422703612906e-01,8.320366156205170893e-02,3.516689916356008916e-01,3.626832871868903574e-01
8.181209709709104105e-01,6.265064624197534959e-01,1.639925021806570626e+00,2.502730527609195121e+00,6.164618281816795775e-02,9.192160886732863023e-01,7.807902460693598723e-01
9.590776426974422231e-01,3.694044110916808732e-01,-3.632113487904389260e-01,-6.642552966368757694e-01,1.922538716778633971e-01,8.892488546551414741e-01,2.416987585307138753e-01
5.526115105212872081e-01,5.939242016131682789e-01,-2.453747517604581319e+00,-2.863479209028649386e+00,2.740250886146853304e-01,0.000000000000000000e+00,0.000000000000000000e+00
