s1x,s1y,ax,ay,dt,s2x,s2y
6.369616873214543062e-01,2.697867137638703117e-01,6.419722287537314998e-01,-1.724735933383251485e+00,2.000000000000000111e-01,7.653561330722006284e-01,0.000000000000000000e+00
4.097352393619468902e-02,1.652763552852909434e-02,3.374588722165379195e-01,1.545272674593235251e+00,2.000000000000000111e-01,1.084652983795022785e-01,3.255821704471761890e-01
8.132702392002724157e-01,9.127555772777217191e-01,1.938438457794213754e+00,2.711969292809860654e+00,2.000000000000000111e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.066357757671798634e-01,7.294965609839983989e-01,-1.221761260139567096e+00,8.387338968852500187e-01,2.000000000000000111e-01,3.622835237392664220e-01,8.972433403610484692e-01
5.436249914654228688e-01,9.350724237877682254e-01,-9.150698221828728052e-01,-2.325086897292271360e+00,2.000000000000000111e-01,3.606110270288482855e-01,4.700550443293139424e-01
8.158535541215321540e-01,2.738500170148094881e-03,-9.325683680985230595e-01,-1.357099458695449234e+00,2.000000000000000111e-01,6.293398805018275421e-01,0.000000000000000000e+00
8.574042765875693473e-01,3.358557530546435466e-02,1.338271323013282554e+00,2.020470101867880786e+00,2.000000000000000111e-01,1.000000000000000000e+00,4.376795956790405229e-01
7.296554464299440657e-01,1.756556206025590150e-01,-6.440092505241539200e-01,-3.527377473811315056e-01,2.000000000000000111e-01,6.008535963251132594e-01,1.051080711263327055e-01
8.631789223498865793e-01,5.414612202490917126e-01,1.774114129656384264e+00,6.157048464032888191e-01,2.000000000000000111e-01,1.000000000000000000e+00,6.646021895297494764e-01
2.997118905373847841e-01,4.226872211976584470e-01,8.041690586496974547e-01,2.017482471812196643e+00,2.000000000000000111e-01,4.605457022673242751e-01,8.261837155600977312e-01
2.831967114546296571e-02,1.242832764995639439e-01,-1.504267620081784829e+00,2.352401083064489029e+00,2.000000000000000111e-01,0.000000000000000000e+00,5.947634931124617941e-01
6.706244146936303219e-01,6.471895115742500870e-01,-2.718659136847710656e+00,2.908529041942022886e-01,2.000000000000000111e-01,1.268925873240881463e-01,7.053600924130905003e-01
6.153851114812538547e-01,3.836775542618834356e-01,3.836096974021252493e-01,-2.178854423175151656e+00,2.000000000000000111e-01,6.921070509616789046e-01,0.000000000000000000e+00
9.972099357892110216e-01,9.808353387762300812e-01,-1.573084261486370261e+00,9.745066521436935858e-01,2.000000000000000111e-01,6.825930834919369250e-01,1.000000000000000000e+00
6.855419844806946994e-01,6.504592762678162998e-01,-1.351843522575917333e-01,2.652275703112185745e+00,2.000000000000000111e-01,6.585051140291763305e-01,1.000000000000000000e+00
6.884467305709400797e-01,3.889214239791037864e-01,2.398170899753989005e+00,7.829859074962270959e-01,2.000000000000000111e-01,1.000000000000000000e+00,5.455186054783491834e-01
1.350965050224112174e-01,7.214883401940817009e-01,1.177952781099694590e+00,-2.341756881082769581e+00,2.000000000000000111e-01,3.706870612423501798e-01,2.531369639775277736e-01
5.253543224757258878e-01,3.102418755589556598e-01,-2.818805830638416943e+00,3.028844409071727029e-01,2.000000000000000111e-01,0.000000000000000000e+00,3.708187637403901893e-01
4.858353588317890770e-01,8.894878343490002504e-01,1.028869962093030388e+00,-1.932793873957910691e+00,2.000000000000000111e-01,6.916093512503951324e-01,5.029290595574180678e-01
9.340435159562496814e-01,3.577951967090702290e-01,-2.012060659615431568e+00,-1.235355087197328228e+00,2.000000000000000111e-01,5.316313840331633456e-01,1.107241792696045668e-01
5.715298307297609348e-01,3.218693910759421462e-01,-1.587755699561110845e-02,1.508847938083205165e+00,2.000000000000000111e-01,5.683543193306387353e-01,6.236389786925832235e-01
5.943000301996967938e-01,3.379112255071332616e-01,-2.878137166094646648e+00,2.852100975146109718e+00,2.000000000000000111e-01,1.867259698076739749e-02,9.083314205363551830e-01
3.916190005281612319e-01,8.902743520047923242e-01,1.903433148129487051e+00,2.503203543215501092e+00,2.000000000000000111e-01,7.723056301540587310e-01,1.000000000000000000e+00
2.271575935333797203e-01,6.231871446860424157e-01,1.293617652401142237e+00,8.748116097440723493e-01,2.000000000000000111e-01,4.858811240136081677e-01,7.981494666348568634e-01
8.401534358238482714e-02,8.326441476533977815e-01,-2.462318974903033642e+00,-1.052621685636274673e+00,2.000000000000000111e-01,0.000000000000000000e+00,6.221198105261428468e-01
7.870983074886833686e-01,2.393694429929521528e-01,6.560702546653978118e-01,-1.607355435786130826e-01,2.000000000000000111e-01,9.183123584217629531e-01,2.072223342772295251e-01
8.764842308107038127e-01,5.856803480519434668e-02,-1.908458853861539239e+00,2.842168404373062174e+00,2.000000000000000111e-01,4.947924600383959426e-01,6.270017156798067814e-01
3.361170605456603733e-01,1.502794668948390644e-01,9.958541941778382700e-01,-2.937530019115485835e+00,2.000000000000000111e-01,5.352878993812280051e-01,0.000000000000000000e+00
4.503393666492869762e-01,7.963242702872942447e-01,1.525772951662052179e+00,-1.681352747968534400e+00,2.000000000000000111e-01,7.554939569816974121e-01,4.600537206935873535e-01
2.306422089937474329e-01,5.202130106440960855e-02,-1.697607956537123375e+00,-2.060710875400574515e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.045518398215282030e-01,1.985130445092553320e-01,-2.700593540006844595e+00,-9.197113679189596880e-01,2.000000000000000111e-01,0.000000000000000000e+00,1.457077092546338326e-02
9.075304561912189705e-02,5.803323859868506629e-01,-5.020135212590410845e-01,-3.536947750943362223e-01,2.000000000000000111e-01,0.000000000000000000e+00,5.095934309679833740e-01
2.986961328189225995e-01,6.719948779563593710e-01,-1.534766296086809145e+00,9.685772648454831213e-01,2.000000000000000111e-01,0.000000000000000000e+00,8.657103309254560175e-01
1.995154439682133019e-01,9.421131105064978195e-01,-2.928947100561790862e+00,-1.001553062739596545e+00,2.000000000000000111e-01,0.000000000000000000e+00,7.418024979585784440e-01
3.651101682448285590e-01,1.054952795702295276e-01,-2.907198528714685537e+00,2.479103305209630292e+00,2.000000000000000111e-01,0.000000000000000000e+00,6.013159406121555417e-01
6.291081515397092261e-01,9.271545530678674263e-01,4.581929451122794816e-01,-2.016914336928408158e+00,2.000000000000000111e-01,7.207467405621651446e-01,5.237716856821857947e-01
4.403771547157839805e-01,9.545904936907372296e-01,2.989060662389256606e+00,-7.735307008129410633e-01,2.000000000000000111e-01,1.000000000000000000e+00,7.998843535281490169e-01
4.998958136876470171e-01,4.252286248490755316e-01,-2.458890551074957465e+00,1.029174070100325800e+00,2.000000000000000111e-01,8.117703472655501962e-03,6.310634388691407359e-01
6.202134520153778086e-01,9.950965052353241136e-01,-2.335638330436773380e+00,-8.143856799185402728e-01,2.000000000000000111e-01,1.530857859280231326e-01,8.322193692516159924e-01
9.489436749377653246e-01,4.600451393090960739e-01,-6.099490987954805377e-01,-3.645037126703103425e-01,2.000000000000000111e-01,8.269538551786692615e-01,3.871443967750339832e-01
7.577288453082914321e-01,4.974226954876189710e-01,-8.372256070163519581e-02,1.067216712840517445e+00,2.000000000000000111e-01,7.409843331679644152e-01,7.108660380557224601e-01
5.293121601967704093e-01,7.857857007138074890e-01,2.705085841594527807e+00,1.291595223820722893e-01,2.000000000000000111e-01,1.000000000000000000e+00,8.116176051902219690e-01
